Data;Captação diária de poupança - mil;Captação mensal acumulada - mil
02/03/2022;-5151282,26;-15361159,170000006
03/03/2022;800692,07;
04/03/2022;5206756,7;
07/03/2022;-2457863,85;
08/03/2022;-180465,91;
09/03/2022;-611337,95;
10/03/2022;-3068867,05;
11/03/2022;-753975,56;
14/03/2022;-4157940,39;
15/03/2022;94145,87;
16/03/2022;-1506115,04;
17/03/2022;-757159,6;
18/03/2022;-614113,29;
21/03/2022;-4326215,64;
22/03/2022;-608077,98;
23/03/2022;-1655611,6;
24/03/2022;-488823,37;
25/03/2022;-563055,82;
28/03/2022;-3355939,85;
29/03/2022;734229,27;
30/03/2022;1985418,4;
31/03/2022;6074443,68;
