Data;Captação diária de poupança - mil;Captação mensal acumulada - mil
03/01/2022;-1949928,3;-19665655,96
04/01/2022;674734,99;
05/01/2022;111257,69;
06/01/2022;786526,3;
07/01/2022;3139110,02;
10/01/2022;-8023544,42;
11/01/2022;-1747839,63;
12/01/2022;-1827856,22;
13/01/2022;929618,99;
14/01/2022;-389462,23;
17/01/2022;-5350216,55;
18/01/2022;-970755,8;
19/01/2022;-1263118,1;
20/01/2022;-975108,34;
21/01/2022;-1041965,43;
24/01/2022;-3677982,35;
25/01/2022;-620019,62;
26/01/2022;-580291,44;
27/01/2022;-106476,08;
28/01/2022;1504970,14;
31/01/2022;1712690,42;
